index,Sex,Age,Profession/job,Education level (recoded),Scale of incomes,Social class (subjective),Country_Code
33,Female,22,Non manual -office worker,Upper,Third step,Working class,Algeria
34,Male,28,Member of armed forces,Upper,Fourth step,Working class,Algeria
35,Female,24,No answer,Upper,Fourth step,Working class,Algeria
36,Male,41,Not asked,Middle,Lower step,Working class,Algeria
37,Male,32,Professional worker,Upper,Third step,Upper middle class,Algeria
38,Female,26,Member of armed forces,Middle,second step,Working class,Algeria
39,Female,52,Never had a job,Lower,second step,Lower class,Algeria
40,Female,23,No answer,Upper,second step,Working class,Algeria
41,Male,40,Not asked,Lower,Fifth step,No answer,Algeria
42,Female,35,Professional worker,Upper,second step,Lower middle class,Algeria
43,Female,48,Never had a job,Lower,Don´t know,Working class,Algeria
44,Male,36,Never had a job,Middle,Fourth step,Upper middle class,Algeria
45,Male,42,Member of armed forces,Middle,second step,Lower class,Algeria
46,Male,26,Not asked,Middle,Fourth step,Lower middle class,Algeria
47,Male,46,Not asked,Middle,Fifth step,Working class,Algeria
48,Female,59,Not asked,Lower,Fifth step,Lower middle class,Algeria
49,Female,40,Professional worker,Upper,Seventh step,Upper middle class,Algeria
50,Female,62,Professional worker,Lower,Lower step,Lower class,Algeria
51,Male,82,Never had a job,Lower,Tenth step,Lower middle class,Algeria
52,Male,25,Not asked,Middle,second step,No answer,Algeria
53,Female,18,No answer,Upper,Tenth step,Upper middle class,Algeria
54,Female,56,Never had a job,Lower,second step,Working class,Algeria
55,Female,27,Not asked,Middle,Tenth step,Working class,Algeria
56,Male,20,Unskilled manual,Lower,second step,Lower class,Algeria
57,Female,19,Never had a job,Upper,Don´t know,Lower middle class,Algeria
58,Male,48,Not asked,Lower,Third step,Lower middle class,Algeria
59,Female,52,Not asked,Upper,Sixth step,Lower middle class,Algeria
60,Male,21,No answer,Upper,Sixth step,Don´t know,Algeria
61,Female,19,No answer,Upper,Lower step,Lower middle class,Algeria
62,Male,37,Not asked,Lower,Fourth step,Lower middle class,Algeria
63,Female,30,Not asked,Upper,Tenth step,Upper class,Algeria
64,Male,41,Farmer: has own farm,Lower,Don´t know,Working class,Algeria
65,Female,28,Not asked,Upper,Fifth step,Working class,Algeria
66,Female,31,Not asked,Middle,Fifth step,Working class,Algeria
67,Female,28,Professional worker,Upper,Don´t know,Working class,Algeria
68,Female,19,Not asked,Middle,Seventh step,Upper middle class,Algeria
69,Male,40,Skilled manual,Middle,Don´t know,Lower class,Algeria
70,Female,26,Never had a job,Middle,Don´t know,Upper middle class,Algeria
71,Female,26,Not asked,Middle,second step,No answer,Algeria
72,Female,77,Never had a job,Lower,Fourth step,Lower middle class,Algeria
73,Male,22,Not asked,Upper,Third step,Lower class,Algeria
74,Female,18,Not asked,Middle,Fourth step,Lower middle class,Algeria
75,Male,34,Not asked,Upper,Sixth step,Lower middle class,Algeria
76,Female,26,No answer,Upper,Third step,Upper middle class,Algeria
77,Male,60,Not asked,Upper,Nineth step,Upper middle class,Algeria
78,Male,52,Never had a job,Lower,Nineth step,Lower middle class,Algeria
79,Female,60,Never had a job,Upper,Don´t know,Working class,Algeria
80,Male,35,Employer/manager of establishment with less than 10 employed,Upper,Seventh step,Upper middle class,Algeria
81,Female,39,Non manual -office worker,Upper,Fifth step,Upper middle class,Algeria
82,Male,22,Not asked,Middle,Fifth step,Working class,Algeria
83,Female,28,Never had a job,Lower,second step,Lower class,Algeria
84,Male,64,Not asked,Lower,Third step,Working class,Algeria
85,Female,71,Never had a job,Lower,Third step,Working class,Algeria
86,Male,62,Not asked,Upper,Seventh step,Upper middle class,Algeria
87,Female,41,Not asked,Lower,Lower step,Lower class,Algeria
88,Male,22,Not asked,Middle,Fourth step,Working class,Algeria
89,Female,19,Not asked,Middle,Sixth step,Upper middle class,Algeria
90,Female,34,No answer,Middle,Don´t know,Upper middle class,Algeria
91,Male,27,Non manual -office worker,Upper,Third step,Lower middle class,Algeria
92,Female,35,Foreman and supervisor,Upper,second step,Working class,Algeria
93,Male,35,Not asked,Middle,Eigth step,Lower class,Algeria
94,Male,58,Not asked,Upper,Seventh step,Upper middle class,Algeria
95,Female,36,Not asked,Middle,Eigth step,Upper middle class,Algeria
96,Female,62,Never had a job,Lower,Lower step,Lower class,Algeria
97,Male,56,Not asked,Lower,Fourth step,Working class,Algeria
98,Female,19,Never had a job,Upper,Don´t know,Upper middle class,Algeria
99,Female,62,Not asked,Lower,Fifth step,Lower middle class,Algeria
0,Female,49,Not asked,Upper,Eigth step,Upper middle class,Andorra
1,Female,61,Not asked,Lower,No answer,Lower middle class,Andorra
2,Male,31,Non manual -office worker,Middle,Seventh step,Upper middle class,Andorra
3,Male,37,Not asked,Middle,Fifth step,Lower middle class,Andorra
4,Male,28,Not asked,Upper,Eigth step,Upper middle class,Andorra
5,Male,54,Not asked,Upper,No answer,Upper middle class,Andorra
6,Male,59,Not asked,Lower,Seventh step,Lower middle class,Andorra
7,Male,47,Not asked,Upper,Seventh step,Upper middle class,Andorra
8,Female,41,Non manual -office worker,Middle,Sixth step,Upper middle class,Andorra
9,Male,32,Not asked,Upper,No answer,Upper middle class,Andorra
10,Female,39,Professional worker,Upper,Sixth step,Upper middle class,Andorra
11,Male,33,Not asked,Upper,Seventh step,Lower middle class,Andorra
12,Female,62,Not asked,Lower,No answer,Working class,Andorra
13,Female,62,Professional worker,Middle,Sixth step,Lower middle class,Andorra
14,Female,71,Employer/manager of establishment with less than 10 employed,Middle,second step,Lower middle class,Andorra
15,Male,20,Not asked,Upper,Eigth step,Upper middle class,Andorra
16,Male,80,Not asked,Middle,Sixth step,Lower middle class,Andorra
17,Male,58,Not asked,Upper,Sixth step,Lower middle class,Andorra
18,Female,29,Not asked,Upper,Fifth step,Lower middle class,Andorra
19,Female,23,Non manual -office worker,Middle,Sixth step,Upper middle class,Andorra
20,Female,29,Not asked,Upper,No answer,Upper middle class,Andorra
21,Female,35,Non manual -office worker,Upper,Third step,Lower middle class,Andorra
22,Male,48,Not asked,Middle,No answer,Lower middle class,Andorra
23,Male,25,Not asked,Middle,Sixth step,Working class,Andorra
24,Female,40,Not asked,Middle,Sixth step,Working class,Andorra
25,Male,38,Non manual -office worker,Middle,Sixth step,Lower middle class,Andorra
26,Male,57,Semi-skilled manual worker,Lower,Sixth step,Lower middle class,Andorra
27,Male,26,Not asked,Upper,Eigth step,Upper middle class,Andorra
28,Male,66,Not asked,Lower,Fourth step,Working class,Andorra
29,Female,40,Non manual -office worker,Upper,Sixth step,Upper middle class,Andorra
30,Male,41,Professional worker,Middle,Fifth step,Upper middle class,Andorra
31,Male,37,Non manual -office worker,Lower,Third step,Working class,Andorra
32,Female,41,Not asked,Upper,Third step,Lower middle class,Andorra
33,Male,59,Employer/manager of establishment with less than 10 employed,Middle,Fifth step,Lower middle class,Andorra
34,Female,37,Non manual -office worker,Middle,Third step,Lower middle class,Andorra
35,Male,31,Not asked,Upper,Fifth step,Upper middle class,Andorra
36,Male,49,Non manual -office worker,Middle,Fifth step,Lower middle class,Andorra
37,Male,31,Member of armed forces,Middle,Seventh step,Lower middle class,Andorra
38,Female,61,Not asked,Lower,No answer,Lower middle class,Andorra
39,Female,30,Not asked,Lower,Fifth step,Upper middle class,Andorra
40,Male,34,Non manual -office worker,Upper,Fifth step,Lower middle class,Andorra
41,Male,54,Not asked,Upper,No answer,Upper middle class,Andorra
42,Male,40,Professional worker,Upper,Seventh step,Upper middle class,Andorra
43,Male,23,Semi-skilled manual worker,Middle,Fifth step,Working class,Andorra
44,Female,27,Not asked,Middle,Sixth step,Working class,Andorra
45,Male,50,Supervisory Non manual -office worker,Upper,Seventh step,Working class,Andorra
46,Male,30,Non manual -office worker,Middle,Sixth step,Working class,Andorra
47,Female,20,Professional worker,Middle,Fourth step,Lower middle class,Andorra
48,Female,50,Not asked,Middle,Fifth step,Lower middle class,Andorra
49,Male,31,Non manual -office worker,Middle,Seventh step,Working class,Andorra
50,Female,23,Not asked,Middle,Nineth step,Upper middle class,Andorra
51,Male,36,Not asked,Middle,Fifth step,Lower middle class,Andorra
52,Female,31,Not asked,Middle,Seventh step,Lower middle class,Andorra
53,Male,41,Semi-skilled manual worker,Middle,Fourth step,Working class,Andorra
54,Male,23,Employer/manager of establishment with less than 10 employed,Upper,Nineth step,Upper middle class,Andorra
55,Female,49,Not asked,Upper,Nineth step,Upper middle class,Andorra
56,Male,56,Employer/manager of establishment with less than 10 employed,Upper,Nineth step,Upper middle class,Andorra
57,Male,38,Non manual -office worker,Middle,Fifth step,Lower middle class,Andorra
58,Male,52,Non manual -office worker,Lower,Fifth step,Lower middle class,Andorra
59,Male,33,Not asked,Upper,Fifth step,Lower middle class,Andorra
60,Female,54,Non manual -office worker,Lower,Seventh step,Lower middle class,Andorra
61,Female,31,Non manual -office worker,Middle,Third step,Working class,Andorra
62,Female,35,Non manual -office worker,Lower,Fifth step,Lower middle class,Andorra
63,Female,39,Employer/manager of establishment with less than 10 employed,Lower,Seventh step,Upper middle class,Andorra
64,Female,34,Professional worker,Upper,Sixth step,Lower middle class,Andorra
65,Female,51,Professional worker,Middle,Nineth step,Upper middle class,Andorra
66,Male,80,Not asked,Lower,Third step,Working class,Andorra
67,Male,35,Professional worker,Upper,Seventh step,Upper middle class,Andorra
68,Male,30,Not asked,Upper,Sixth step,Lower middle class,Andorra
69,Female,30,Non manual -office worker,Middle,Fifth step,Upper middle class,Andorra
70,Female,34,Not asked,Middle,Sixth step,Working class,Andorra
71,Male,47,Not asked,Lower,Fourth step,Working class,Andorra
72,Female,30,Non manual -office worker,Middle,Fifth step,Lower middle class,Andorra
73,Female,41,Non manual -office worker,Middle,Sixth step,Lower middle class,Andorra
74,Male,38,Not asked,Upper,Seventh step,Lower middle class,Andorra
75,Female,26,Not asked,Upper,Fourth step,Working class,Andorra
76,Male,55,Not asked,Lower,Fourth step,Lower middle class,Andorra
77,Female,66,Not asked,Lower,second step,Lower class,Andorra
78,Male,21,Not asked,Upper,Nineth step,Upper middle class,Andorra
79,Female,66,Not asked,Lower,second step,Lower class,Andorra
80,Female,73,Employer/manager of establishment with less than 10 employed,Lower,second step,Working class,Andorra
81,Male,37,Employer/manager of establishment with less than 10 employed,Upper,Fourth step,Lower middle class,Andorra
82,Male,55,Not asked,Lower,Third step,Working class,Andorra
83,Male,47,Not asked,Lower,Fourth step,Working class,Andorra
84,Male,54,Unskilled manual,Middle,Sixth step,Working class,Andorra
85,Female,40,Not asked,Lower,Fourth step,Working class,Andorra
86,Female,72,Not asked,Lower,Fifth step,Lower middle class,Andorra
87,Male,62,Not asked,Middle,Third step,Lower middle class,Andorra
88,Male,26,Non manual -office worker,Upper,Tenth step,Working class,Andorra
89,Female,62,Professional worker,Middle,Sixth step,Lower middle class,Andorra
90,Female,51,Not asked,Middle,No answer,Upper middle class,Andorra
91,Male,78,Not asked,Lower,Seventh step,Lower middle class,Andorra
92,Female,56,Not asked,Middle,Third step,Working class,Andorra
93,Male,35,Member of armed forces,Middle,Sixth step,Lower middle class,Andorra
94,Female,51,Non manual -office worker,Middle,Fifth step,Lower middle class,Andorra
95,Female,90,Not asked,Middle,Sixth step,Upper class,Andorra
96,Female,68,Not asked,Upper,Sixth step,Lower middle class,Andorra
97,Male,29,Non manual -office worker,Middle,Sixth step,Working class,Andorra
98,Male,44,Not asked,Upper,Sixth step,Lower middle class,Andorra
99,Female,49,Not asked,Lower,Sixth step,Working class,Andorra
0,Female,70,Not asked,Lower,second step,Lower middle class,Argentina
1,Male,27,Not asked,Upper,Seventh step,Upper middle class,Argentina
2,Female,31,Not applicable,Not asked in survey,Not asked in survey,Lower middle class,Argentina
3,Male,26,Non manual -office worker,Upper,Tenth step,Working class,Argentina
4,Female,27,Unskilled manual,Middle,Not asked in survey,Lower class,Argentina
5,Male,36,Skilled manual,Middle,Fourth step,Working class,Argentina
6,Male,25,Not asked,Middle,Sixth step,Lower middle class,Argentina
7,Female,54,Not applicable,Not asked in survey,Not asked in survey,Lower middle class,Argentina
8,Male,24,Not applicable,Not asked in survey,Not asked in survey,Upper class,Argentina
9,Male,51,Skilled manual,Lower,Sixth step,Working class,Argentina
10,Female,47,Non manual -office worker,Middle,Fifth step,Working class,Argentina
11,Female,35,Middle level non-manual office worker,Not asked in survey,Fourth step,Not asked in survey,Argentina
12,Male,35,Not asked,Middle,Sixth step,Lower middle class,Argentina
13,Male,55,Skilled manual,Not asked in survey,Fourth step,Not asked in survey,Argentina
14,Female,58,Semi-skilled manual worker,Not asked in survey,Not asked in survey,No answer,Argentina
15,Male,20,Not asked,Lower,Seventh step,Lower middle class,Argentina
16,Male,32,Skilled manual,Middle,Sixth step,Working class,Argentina
17,Female,26,Unskilled manual,Middle,second step,Lower middle class,Argentina
18,Male,44,Skilled manual,Middle,Eigth step,Lower middle class,Argentina
19,Female,49,Skilled manual,Lower,Not asked in survey,Lower middle class,Argentina
20,Male,32,Non manual -office worker,Middle,second step,Working class,Argentina
21,Female,61,Unskilled manual,Middle,second step,Working class,Argentina
22,Male,25,Non manual -office worker,Middle,Not asked in survey,Lower middle class,Argentina
23,Male,18,Not asked,Lower,second step,Lower middle class,Argentina
24,Male,47,Not asked,Upper,Fourth step,Lower class,Argentina
25,Female,72,Not applicable,Not asked in survey,Not asked in survey,Upper middle class,Argentina
26,Female,35,Non manual -office worker,Lower,second step,Lower class,Argentina
27,Male,41,Not asked,Middle,Seventh step,Lower middle class,Argentina
28,Female,65,Non manual -office worker,Middle,Lower step,Lower middle class,Argentina
29,Male,27,Unskilled manual,Upper,second step,Lower middle class,Argentina
30,Female,67,Non manual -office worker,Lower,Eigth step,Working class,Argentina
31,Male,35,Skilled manual,Lower,second step,Working class,Argentina
32,Male,50,Skilled manual,Middle,Nineth step,Lower middle class,Argentina
33,Female,33,Not asked,Upper,Fifth step,Lower middle class,Argentina
34,Male,79,Not asked,Lower,Fourth step,Lower middle class,Argentina
35,Male,31,Not asked,Middle,Fifth step,Lower middle class,Argentina
36,Female,49,Non manual -office worker,Lower,Not asked in survey,Working class,Argentina
37,Male,25,Non manual -office worker,Middle,Sixth step,Working class,Argentina
38,Female,35,Non manual -office worker,Middle,Not asked in survey,Lower middle class,Argentina
39,Female,64,Not asked,Lower,Fifth step,Lower middle class,Argentina
40,Female,34,No answer,Not asked in survey,Not asked in survey,Upper middle class,Argentina
41,Female,20,Never had a job,Middle,Not asked in survey,Working class,Argentina
42,Male,51,Non manual -office worker,Middle,Nineth step,Working class,Argentina
43,Male,64,Unskilled manual,Lower,Not asked in survey,Working class,Argentina
44,Male,42,Non manual -office worker,Middle,Don´t know,Upper middle class,Argentina
45,Female,32,Not asked,Middle,Fifth step,Working class,Argentina
46,Female,62,Non manual -office worker,Upper,Sixth step,Working class,Argentina
47,Female,18,Never had a job,Upper,Seventh step,Lower middle class,Argentina
48,Female,63,Non manual -office worker,Middle,second step,Lower middle class,Argentina
49,Female,37,Unskilled manual,Lower,Not asked in survey,Working class,Argentina
50,Female,22,Non manual -office worker,Middle,Not asked in survey,Working class,Argentina
51,Male,55,Professional worker,Lower,Fifth step,Working class,Argentina
52,Female,71,Professional worker,Not asked in survey,Third step,Not asked in survey,Argentina
53,Female,35,Not asked,Middle,Third step,Working class,Argentina
54,Female,67,Not applicable,Lower,Don´t know,Lower middle class,Argentina
55,Male,61,Non manual -office worker,Middle,Don´t know,Lower middle class,Argentina
56,Male,39,Unskilled manual,Lower,Not asked in survey,Working class,Argentina
57,Female,61,Skilled manual,Not asked in survey,second step,Not asked in survey,Argentina
58,Female,38,Non manual -office worker,Upper,Tenth step,Lower middle class,Argentina
59,Male,34,Supervisory Non manual -office worker,Not asked in survey,Not asked in survey,Lower middle class,Argentina
60,Male,57,Employer/manager of establishment with less than 10 employed,Not asked in survey,Fifth step,Not asked in survey,Argentina
61,Female,28,Foreman and supervisor,Middle,Sixth step,Working class,Argentina
62,Female,50,Middle level non-manual office worker,Not asked in survey,No answer,Not asked in survey,Argentina
63,Female,60,Not asked,Lower,Fifth step,Working class,Argentina
64,Female,48,Never had a job,Lower,Eigth step,Working class,Argentina
65,Male,48,Not asked,Lower,Fourth step,Working class,Argentina
66,Female,60,Never had a job,Lower,Seventh step,Working class,Argentina
67,Female,23,Not applicable,Not asked in survey,Not asked in survey,Upper middle class,Argentina
68,Male,19,Skilled manual,Middle,Fifth step,Working class,Argentina
69,Male,21,Not applicable,Not asked in survey,Not asked in survey,Upper middle class,Argentina
70,Female,54,Not asked,Lower,Third step,Lower middle class,Argentina
71,Female,35,Employer/manager of establishment with less than 10 employed,Middle,Seventh step,Don´t know,Argentina
72,Female,63,Not applicable,Not asked in survey,Not asked in survey,Lower middle class,Argentina
73,Female,50,Middle level non-manual office worker,Not asked in survey,No answer,Not asked in survey,Argentina
74,Female,44,Middle level non-manual office worker,Not asked in survey,No answer,Not asked in survey,Argentina
75,Female,42,Unskilled manual,Middle,Lower step,Lower middle class,Argentina
76,Female,41,Unskilled manual,Not asked in survey,Third step,Not asked in survey,Argentina
77,Female,30,Never had a job,Middle,Sixth step,Working class,Argentina
78,Male,44,Not asked,Middle,Fifth step,Lower middle class,Argentina
79,Female,57,Unskilled manual,Lower,Not asked in survey,Lower class,Argentina
80,Female,45,Never had a job,Middle,Not asked in survey,Working class,Argentina
81,Male,43,Professional worker,Not asked in survey,Fourth step,Not asked in survey,Argentina
82,Male,45,Supervisory Non manual -office worker,Not asked in survey,Not asked in survey,Lower middle class,Argentina
83,Male,54,Supervisory Non manual -office worker,Not asked in survey,Not asked in survey,Lower middle class,Argentina
84,Male,24,Non manual -office worker,Upper,Nineth step,Upper middle class,Argentina
85,Male,45,Skilled manual,Middle,Not asked in survey,Lower middle class,Argentina
86,Female,22,Non manual -office worker,Middle,Not asked in survey,Working class,Argentina
87,Male,49,Semi-skilled manual worker,Lower,Not asked in survey,Working class,Argentina
88,Male,29,Skilled manual,Not asked in survey,Fourth step,Not asked in survey,Argentina
89,Male,30,Not asked,Upper,Seventh step,Upper middle class,Argentina
90,Female,45,Never had a job,Middle,Eigth step,Working class,Argentina
91,Female,44,Unskilled manual,Not asked in survey,second step,Not asked in survey,Argentina
92,Female,72,Not applicable,Not asked in survey,Not asked in survey,Lower middle class,Argentina
93,Female,35,Never had a job,Middle,Not asked in survey,Working class,Argentina
94,Female,72,Not asked,Middle,Fifth step,Working class,Argentina
95,Male,49,Skilled manual,Not asked in survey,Not asked in survey,No answer,Argentina
96,Female,64,Professional worker,Not asked in survey,Fourth step,Not asked in survey,Argentina
97,Male,62,Employer/manager of establishment with less than 10 employed,Middle,Nineth step,Upper middle class,Argentina
98,Male,55,Not asked,Lower,Fifth step,Lower middle class,Argentina
